,gender,agecat,area,traffic_index,veh_value00,veh_ageIndex,credit_score,age,claim_ind,veh_body2,num_claims,claim_amount
0,M,4,C,93,2.96,4,52,53,0,STNWG,0,0.0
1,M,3,C,108,1.89,4,83,38,0,SEDAN,0,0.0
2,M,5,A,100,2.75,3,71,56,0,SEDAN,0,0.0
3,M,3,B,77,2.92,3,81,41,0,UTE,0,0.0
4,M,2,D,100,3.63,4,88,31,0,STNWG,0,0.0
5,F,2,F,86,9.81,2,13,33,0,STNWG,0,0.0
6,M,6,B,79,4.26,3,90,84,0,PANVN,0,0.0
7,F,3,A,92,3.38,2,85,42,1,HBACK,2,3834.59
8,F,4,A,133,1.9,3,49,49,0,HBACK,0,0.0
9,F,6,C,161,4.35,2,91,78,0,SEDAN,0,0.0
10,F,4,C,68,3.22,2,81,52,0,SEDAN,0,0.0
11,F,1,B,51,8.96,2,12,16,0,STNWG,0,0.0
12,F,6,E,89,3.38,2,85,95,0,UTE,0,0.0
13,F,2,B,47,4.28,3,91,27,0,UTE,0,0.0
14,M,2,A,134,0.94,4,20,30,0,TRUCK,0,0.0
15,M,6,E,100,3.38,2,87,87,0,SEDAN,0,0.0
16,M,4,E,135,12.38,1,48,45,0,STNWG,0,0.0
17,F,3,D,127,5.35,3,88,41,0,STNWG,0,0.0
18,F,2,C,105,3.54,2,85,32,0,SEDAN,0,0.0
19,F,4,A,75,3.38,2,98,53,0,HDTOP,0,0.0
20,M,5,C,162,6.6,3,74,62,0,STNWG,0,0.0
21,F,6,B,43,0.99,4,43,79,0,SEDAN,0,0.0
22,F,6,C,124,3.38,2,30,104,0,STNWG,0,0.0
23,F,1,A,82,3.99,3,87,17,1,SEDAN,1,2096.21
24,M,1,C,69,2.7,4,86,23,0,SEDAN,0,0.0
25,F,4,B,108,2.1,4,64,47,0,UTE,0,0.0
26,M,3,E,90,8.37,2,79,36,0,TRUCK,0,0.0
27,F,5,C,175,0.94,4,96,59,0,HBACK,0,0.0
28,F,4,B,118,3.38,2,90,47,0,HBACK,0,0.0
29,F,3,B,90,3.63,2,14,38,0,SEDAN,0,0.0
30,F,4,B,111,2.39,3,81,47,0,SEDAN,0,0.0
31,M,3,A,104,17.05,1,96,44,0,STNWG,0,0.0
32,F,4,E,99,3.38,2,91,50,0,SEDAN,0,0.0
33,F,3,B,150,3.63,1,74,39,0,HBACK,0,0.0
34,M,1,A,125,2.28,3,94,15,0,HBACK,0,0.0
35,M,2,C,51,3.93,2,58,31,0,SEDAN,0,0.0
36,M,2,F,100,3.38,2,89,27,0,STNWG,0,0.0
37,F,3,A,55,5.62,1,67,37,0,SEDAN,0,0.0
38,F,2,C,100,3.44,4,88,28,0,STNWG,0,0.0
39,F,2,C,60,3.38,2,83,35,0,HBACK,0,0.0
40,F,6,E,29,3.38,4,84,81,0,SEDAN,0,0.0
41,M,3,E,91,3.69,3,90,38,0,TRUCK,0,0.0
42,F,2,C,55,2.04,3,73,26,0,HBACK,0,0.0
43,F,6,E,87,2.82,4,91,85,0,SEDAN,0,0.0
44,F,1,C,100,3.38,4,81,23,0,HBACK,0,0.0
45,M,2,A,126,3.54,1,88,32,0,HBACK,0,0.0
46,M,2,C,121,3.19,4,82,25,0,STNWG,0,0.0
47,F,6,E,90,3.38,2,64,98,0,HBACK,0,0.0
48,M,5,C,100,8.13,2,86,56,0,UTE,0,0.0
49,M,3,E,85,8.7,2,78,43,0,STNWG,0,0.0
50,M,3,A,47,3.12,4,99,37,0,STNWG,0,0.0
51,F,6,C,100,3.33,2,87,89,0,SEDAN,0,0.0
52,F,3,E,38,9.0,3,74,42,0,STNWG,0,0.0
53,M,4,A,100,4.19,2,100,51,0,HBACK,0,0.0
54,M,2,A,134,3.7,3,87,25,0,SEDAN,0,0.0
55,F,5,A,154,6.86,2,70,59,0,HBACK,0,0.0
56,M,1,C,96,4.75,4,81,17,0,STNWG,0,0.0
57,F,3,B,100,3.06,1,56,35,0,HBACK,0,0.0
58,M,4,C,54,3.38,2,99,46,0,HBACK,0,0.0
59,F,6,C,100,4.56,1,90,77,0,SEDAN,0,0.0
60,F,2,B,157,4.96,1,92,34,0,SEDAN,0,0.0
61,F,3,A,100,4.14,2,54,43,0,HBACK,0,0.0
62,F,3,D,130,3.38,4,92,37,1,TRUCK,1,1833.87
63,M,4,D,138,1.53,4,68,54,0,HBACK,0,0.0
64,M,4,E,59,1.83,2,17,50,0,SEDAN,0,0.0
65,F,2,A,100,3.38,3,94,33,0,SEDAN,0,0.0
66,F,4,C,159,3.38,2,97,54,0,SEDAN,0,0.0
67,F,6,C,100,2.37,4,40,97,0,HBACK,0,0.0
68,F,4,A,63,3.38,3,87,55,0,SEDAN,0,0.0
69,F,4,E,157,1.95,3,88,54,0,SEDAN,0,0.0
70,F,3,D,117,3.38,3,82,37,0,STNWG,0,0.0
71,F,4,C,130,3.38,2,93,54,0,SEDAN,0,0.0
72,F,4,D,142,1.75,3,96,53,0,HBACK,0,0.0
73,F,3,B,138,1.35,4,81,38,0,HBACK,0,0.0
74,F,3,D,158,4.54,1,91,38,1,HBACK,1,2039.81
75,M,4,C,62,3.93,2,72,48,0,HBACK,0,0.0
76,F,2,A,77,1.95,4,88,34,0,COUPE,0,0.0
77,F,2,C,75,3.65,3,54,30,0,SEDAN,0,0.0
78,M,3,D,156,5.85,3,81,43,0,STNWG,0,0.0
79,M,5,C,185,2.25,3,64,63,0,HBACK,0,0.0
80,F,2,B,100,2.25,3,60,31,0,HBACK,0,0.0
81,M,3,F,66,5.43,3,81,37,0,STNWG,0,0.0
